"","mouse.names","human.names","mouse.ensemble"
"7457","Mrps25","MRPS25","ENSMUSG00000014551"
"7458","Arhgap17","ARHGAP17","ENSMUSG00000030766"
"7459","Gng2","GNG2","ENSMUSG00000043004"
"7460","Mad2l2","MAD2L2","ENSMUSG00000029003"
"7461","Pfkl","PFKL","ENSMUSG00000020277"
"7462","Sostdc1","SOSTDC1","ENSMUSG00000036169"
"7463","Fcf1","FCF1","ENSMUSG00000021243"
"7464","Morn4","MORN4","ENSMUSG00000049670"
"7465","Acer1","ACER1","ENSMUSG00000045019"
"7466","Kif3a","KIF3A","ENSMUSG00000018395"
"7467","Fam43a","FAM43A","ENSMUSG00000046546"
"7468","Camk4","CAMK4","ENSMUSG00000038128"
"7469","Alkbh7","ALKBH7","ENSMUSG00000002661"
"7470","Gtdc1","GTDC1","ENSMUSG00000036890"
"7471","Ascc1","ASCC1","ENSMUSG00000044475"
"7472","Ptcd2","PTCD2","ENSMUSG00000021650"
"7473","Rhbdd1","RHBDD1","ENSMUSG00000026142"
"7474","Jmjd7","JMJD7","ENSMUSG00000098789"
"7475","Akr1b1","AKR1B1","ENSMUSG00000001642"
"7476","Bdp1","BDP1","ENSMUSG00000049658"
"7477","Tor4a","TOR4A","ENSMUSG00000059555"
"7478","Icmt","ICMT","ENSMUSG00000039662"
"7479","Tmem256","TMEM256","ENSMUSG00000070394"
"7480","Ptpn22","PTPN22","ENSMUSG00000027843"
"7481","Pcyox1","PCYOX1","ENSMUSG00000029998"
"7482","Ppp1r11","PPP1R11","ENSMUSG00000036398"
"7483","Nrn1l","NRN1L","ENSMUSG00000044287"
"7484","Iqcg","IQCG","ENSMUSG00000035578"
"7485","Kcng4","KCNG4","ENSMUSG00000045246"
"7486","Rasgrp4","RASGRP4","ENSMUSG00000030589"
"7487","Map3k10","MAP3K10","ENSMUSG00000040390"
"7488","Tsen34","TSEN34","ENSMUSG00000035585"
"7489","Spg7","SPG7","ENSMUSG00000000738"
"7490","Pex11a","PEX11A","ENSMUSG00000030545"
"7491","Csmd3","CSMD3","ENSMUSG00000022311"
"7492","Ttc23","TTC23","ENSMUSG00000030555"
"7493","Garre1","GARRE1","ENSMUSG00000066571"
"7494","Zc3h18","ZC3H18","ENSMUSG00000017478"
"7495","Cftr","CFTR","ENSMUSG00000041301"
"7496","Abtb3","ABTB3","ENSMUSG00000020042"
"7497","Bhlhe41","BHLHE41","ENSMUSG00000030256"
"7498","Il34","IL34","ENSMUSG00000031750"
"7499","Foxf1","FOXF1","ENSMUSG00000042812"
"7500","Slc28a2b","SLC28A2","ENSMUSG00000079071"
"7501","Slc28a1","SLC28A1","ENSMUSG00000025726"
"7503","Arhgef15","ARHGEF15","ENSMUSG00000052921"
"7504","Kcne4","KCNE4","ENSMUSG00000047330"
"7505","Smpd1","SMPD1","ENSMUSG00000037049"
"7506","Ddb2","DDB2","ENSMUSG00000002109"
"7507","Pgpep1l","PGPEP1L","ENSMUSG00000030553"
"7508","D430041D05Rik","KIAA1549L","ENSMUSG00000068373"
"7509","Akt3","AKT3","ENSMUSG00000019699"
"7510","St3gal2","ST3GAL2","ENSMUSG00000031749"
"7511","Armh3","ARMH3","ENSMUSG00000039901"
"7512","Gins2","GINS2","ENSMUSG00000031821"
"7513","Alx1","ALX1","ENSMUSG00000036602"
"7514","Itpr2","ITPR2","ENSMUSG00000030287"
"7515","Pllp","PLLP","ENSMUSG00000031775"
"7516","Carmil2","CARMIL2","ENSMUSG00000050357"
"7517","Dhx36","DHX36","ENSMUSG00000027770"
"7518","Pink1","PINK1","ENSMUSG00000028756"
"7519","Zfp296","ZNF296","ENSMUSG00000011267"
"7520","Pias1","PIAS1","ENSMUSG00000032405"
"7521","Spg21","SPG21","ENSMUSG00000032388"
"7522","B3gat1","B3GAT1","ENSMUSG00000045994"
"7523","Plin1","PLIN1","ENSMUSG00000030546"
"7524","Bcl2l13","BCL2L13","ENSMUSG00000009112"
"7525","Slc8a2","SLC8A2","ENSMUSG00000030376"
"7526","Lrguk","LRGUK","ENSMUSG00000056215"
"7527","Lrriq1","LRRIQ1","ENSMUSG00000019892"
"7528","Tango6","TANGO6","ENSMUSG00000041949"
"7529","Zfpm1","ZFPM1","ENSMUSG00000049577"
"7530","Cep126","CEP126","ENSMUSG00000040729"
"7531","Iqch","IQCH","ENSMUSG00000037801"
"7532","Capn12","CAPN12","ENSMUSG00000054083"
"7533","Pstpip1","PSTPIP1","ENSMUSG00000032322"
"7534","Large2","LARGE2","ENSMUSG00000040434"
"7535","Daw1","DAW1","ENSMUSG00000053161"
"7536","Chd2","CHD2","ENSMUSG00000078671"
"7537","Ss18","SS18","ENSMUSG00000037013"
"7538","Ighmbp2","IGHMBP2","ENSMUSG00000024831"
"7539","Foxg1","FOXG1","ENSMUSG00000020950"
"7540","Wtip","WTIP","ENSMUSG00000036459"
"7541","Dctn1","DCTN1","ENSMUSG00000031865"
"7542","Nmb","NMB","ENSMUSG00000025723"
"7543","Sphkap","SPHKAP","ENSMUSG00000026163"
"7544","Bid","BID","ENSMUSG00000004446"
"7545","Fbxo7","FBXO7","ENSMUSG00000001786"
"7546","Gmds","GMDS","ENSMUSG00000038372"
"7547","Alpk3","ALPK3","ENSMUSG00000038763"
"7548","Cmip","CMIP","ENSMUSG00000034390"
"7549","Afdn","AFDN","ENSMUSG00000068036"
"7550","Panx2","PANX2","ENSMUSG00000058441"
"7551","Spata7","SPATA7","ENSMUSG00000021007"
"7552","Ttc9b","TTC9B","ENSMUSG00000007944"
"7553","Tmem123","TMEM123","ENSMUSG00000050912"
"7554","Pglyrp4","PGLYRP4","ENSMUSG00000042250"
"7555","Pglyrp1","PGLYRP1","ENSMUSG00000030413"
"7556","Pglyrp3","PGLYRP3","ENSMUSG00000042244"
"7557","Zbtb18","ZBTB18","ENSMUSG00000063659"
"7558","Prdm10","PRDM10","ENSMUSG00000042496"
"7559","Plekha7","PLEKHA7","ENSMUSG00000045659"
"7560","Gnrhr","GNRHR","ENSMUSG00000029255"
"7561","Synm","SYNM","ENSMUSG00000030554"
"7562","Skor1","SKOR1","ENSMUSG00000022245"
"7563","Etv1","ETV1","ENSMUSG00000004151"
"7564","Kcnj1","KCNJ1","ENSMUSG00000041248"
"7565","Otogl","OTOGL","ENSMUSG00000091455"
"7566","Rad51ap1","RAD51AP1","ENSMUSG00000030346"
"7567","Tmem168","TMEM168","ENSMUSG00000029569"
"7568","Zwilch","ZWILCH","ENSMUSG00000032400"
"7569","Sipa1l3","SIPA1L3","ENSMUSG00000030583"
"7571","Ss18l2","SS18L2","ENSMUSG00000032526"
"7572","Dclk2","DCLK2","ENSMUSG00000028078"
"7573","Cmas","CMAS","ENSMUSG00000030282"
"7574","Ripor1","RIPOR1","ENSMUSG00000038604"
"7575","Fgd4","FGD4","ENSMUSG00000022788"
"7576","Ccnd2","CCND2","ENSMUSG00000000184"
"7577","Was","WAS","ENSMUSG00000031165"
"7578","Hcn4","HCN4","ENSMUSG00000032338"
"7579","Irf2bp1","IRF2BP1","ENSMUSG00000044030"
"7580","Cacnb2","CACNB2","ENSMUSG00000057914"
"7581","Mapk6","MAPK6","ENSMUSG00000042688"
"7582","Fat1","FAT1","ENSMUSG00000070047"
"7583","Myoc","MYOC","ENSMUSG00000026697"
"7584","Dnah11","DNAH11","ENSMUSG00000018581"
"7585","Entpd6","ENTPD6","ENSMUSG00000033068"
"7586","Zbtb3","ZBTB3","ENSMUSG00000071661"
"7587","Ier3ip1","IER3IP1","ENSMUSG00000090000"
"7588","Rps16","RPS16","ENSMUSG00000037563"
"7589","Pyurf","PYURF","ENSMUSG00000043162"
"7590","Rad50","RAD50","ENSMUSG00000020380"
"7591","Atp5if1","ATP5IF1","ENSMUSG00000054428"
"7592","Cgas","CGAS","ENSMUSG00000032344"
"7593","Cdc6","CDC6","ENSMUSG00000017499"
"7594","Lrp8","LRP8","ENSMUSG00000028613"
"7595","Pyroxd2","PYROXD2","ENSMUSG00000060224"
"7596","Haus7","HAUS7","ENSMUSG00000031371"
"7597","Maip1","MAIP1","ENSMUSG00000025971"
"7598","Etv4","ETV4","ENSMUSG00000017724"
"7599","Lrrc30","LRRC30","ENSMUSG00000073375"
"7600","Pold4","POLD4","ENSMUSG00000024854"
"7601","Npat","NPAT","ENSMUSG00000033054"
"7602","Siva1","SIVA1","ENSMUSG00000064326"
"7603","Ncapd2","NCAPD2","ENSMUSG00000038252"
"7604","Pigl","PIGL","ENSMUSG00000014245"
"7605","Vcl","VCL","ENSMUSG00000021823"
"7606","Hyal5","SPAM1","ENSMUSG00000029678"
"7608","Ptgr2","PTGR2","ENSMUSG00000072946"
"7609","Clcn2","CLCN2","ENSMUSG00000022843"
"7610","Fdps","FDPS","ENSMUSG00000059743"
"7611","Rcor1","RCOR1","ENSMUSG00000037896"
"7612","S1pr4","S1PR4","ENSMUSG00000044199"
"7613","Lrrtm1","LRRTM1","ENSMUSG00000060780"
"7614","Cox11","COX11","ENSMUSG00000020544"
"7615","Cyb5d2","CYB5D2","ENSMUSG00000057778"
"7616","Gramd1c","GRAMD1C","ENSMUSG00000036292"
"7617","Ubfd1","UBFD1","ENSMUSG00000030870"
"7618","Fis1","FIS1","ENSMUSG00000019054"
"7619","Kcnt1","KCNT1","ENSMUSG00000058740"
"7620","Cdx1","CDX1","ENSMUSG00000024619"
"7621","Vmn1r237","VN1R4","ENSMUSG00000058030"
"7622","Vmn1r70","VN1R3","ENSMUSG00000045340"
"7623","Vmn1r225","VN1R2","ENSMUSG00000043537"
"7631","Tas2r137","TAS2R3","ENSMUSG00000052850"
"7632","Tas2r124","TAS2R13","ENSMUSG00000060412"
"7633","Tas2r103","TAS2R14","ENSMUSG00000030196"
"7634","Tas2r126","TAS2R41","ENSMUSG00000048284"
"7635","Tas2r114","TAS2R10","ENSMUSG00000063478"
"7636","Tas2r136","TAS2R31","ENSMUSG00000053217"
"7637","Tas2r139","TAS2R39","ENSMUSG00000047102"
"7640","Tas2r144","TAS2R40","ENSMUSG00000051917"
"7641","Tas2r131","TAS2R42","ENSMUSG00000057699"
"7642","Tas2r130","TAS2R7","ENSMUSG00000054497"
"7650","Tas2r135","TAS2R60","ENSMUSG00000056203"
"7652","Tas2r138","TAS2R38","ENSMUSG00000058250"
"7657","Tas2r108","TAS2R4","ENSMUSG00000037140"
"7660","Tas2r119","TAS2R1","ENSMUSG00000045267"
"7661","Dmrt1","DMRT1","ENSMUSG00000024837"
"7662","Syce2","SYCE2","ENSMUSG00000003824"
"7663","Farsa","FARSA","ENSMUSG00000003808"
"7664","Sema3f","SEMA3F","ENSMUSG00000034684"
"7665","Sema3c","SEMA3C","ENSMUSG00000028780"
"7666","Gcgr","GCGR","ENSMUSG00000025127"
"7667","Glp1r","GLP1R","ENSMUSG00000024027"
"7668","Gipr","GIPR","ENSMUSG00000030406"
"7669","Abca2","ABCA2","ENSMUSG00000026944"
"7670","Abcb7","ABCB7","ENSMUSG00000031333"
"7671","Abcb9","ABCB9","ENSMUSG00000029408"
"7672","Abcb11","ABCB11","ENSMUSG00000027048"
"7673","Abcc3","ABCC3","ENSMUSG00000020865"
"7674","Abcc5","ABCC5","ENSMUSG00000022822"
"7675","Abcc6","ABCC6","ENSMUSG00000030834"
"7676","Abca3","ABCA3","ENSMUSG00000024130"
"7677","Uggt2","UGGT2","ENSMUSG00000042104"
"7678","Abcc8","ABCC8","ENSMUSG00000040136"
"7679","Abcc9","ABCC9","ENSMUSG00000030249"
"7680","Abcc10","ABCC10","ENSMUSG00000032842"
"7681","Abcc12","ABCC12","ENSMUSG00000036872"
"7682","Abcd1","ABCD1","ENSMUSG00000031378"
"7683","Abca4","ABCA4","ENSMUSG00000028125"
"7684","Abcd4","ABCD4","ENSMUSG00000021240"
"7685","Abcf1","ABCF1","ENSMUSG00000038762"
"7686","Abcf3","ABCF3","ENSMUSG00000003234"
"7687","Abcg2","ABCG2","ENSMUSG00000029802"
"7688","Abcg4","ABCG4","ENSMUSG00000032131"
"7689","Abcg5","ABCG5","ENSMUSG00000040505"
"7690","Abcg8","ABCG8","ENSMUSG00000024254"
"7691","Tap1","TAP1","ENSMUSG00000037321"
"7692","Abca8b","ABCA8","ENSMUSG00000020620"
"7693","Abca9","ABCA9","ENSMUSG00000041797"
"7694","Abca5","ABCA5","ENSMUSG00000018800"
"7695","Abca6","ABCA6","ENSMUSG00000044749"
"7697","Abcb6","ABCB6","ENSMUSG00000026198"
"7698","Coro2b","CORO2B","ENSMUSG00000041729"
"7699","Cspg4","CSPG4","ENSMUSG00000032911"
"7700","Nxt1","NXT1","ENSMUSG00000036992"
"7701","Nxt2","NXT2","ENSMUSG00000042271"
"7702","Orai1","ORAI1","ENSMUSG00000049686"
"7703","Neurl1b","NEURL1B","ENSMUSG00000034413"
"7704","Eid3","EID3","ENSMUSG00000109864"
"7705","Nsmce4a","NSMCE4A","ENSMUSG00000040331"
"7706","Mrpl28","MRPL28","ENSMUSG00000024181"
"7707","Gsr","GSR","ENSMUSG00000031584"
"7708","Pin4","PIN4","ENSMUSG00000079480"
"7709","D16Ertd472e","C21orf91","ENSMUSG00000022864"
"7710","Trp53rkb","TP53RK","ENSMUSG00000042854"
"7712","Dclre1a","DCLRE1A","ENSMUSG00000025077"
"7713","Neu4","NEU4","ENSMUSG00000034000"
"7714","Abt1","ABT1","ENSMUSG00000036376"
"7715","Mrpl27","MRPL27","ENSMUSG00000024414"
"7716","Ints11","INTS11","ENSMUSG00000029034"
"7717","Atp6v0e2","ATP6V0E2","ENSMUSG00000039347"
"7718","Wbp2","WBP2","ENSMUSG00000034341"
"7719","Prep","PREP","ENSMUSG00000019849"
"7720","Cryba4","CRYBA4","ENSMUSG00000066975"
"7721","Atp5po","ATP5PO","ENSMUSG00000116933"
"7722","Ints2","INTS2","ENSMUSG00000018068"
"7723","Tmem199","TMEM199","ENSMUSG00000051232"
"7724","Cetn3","CETN3","ENSMUSG00000021537"
"7725","Letm1","LETM1","ENSMUSG00000005299"
"7726","Pacsin1","PACSIN1","ENSMUSG00000040276"
"7727","Phactr3","PHACTR3","ENSMUSG00000027525"
"7728","Pcbp3","PCBP3","ENSMUSG00000001120"
"7729","Uchl3","UCHL3","ENSMUSG00000022111"
"7731","Prdx5","PRDX5","ENSMUSG00000024953"
"7732","Lrit2","LRIT2","ENSMUSG00000043418"
"7733","Sarnp","SARNP","ENSMUSG00000078427"
"7734","Ptrh2","PTRH2","ENSMUSG00000072582"
"7735","Mrpl13","MRPL13","ENSMUSG00000022370"
"7736","Rnft2","RNFT2","ENSMUSG00000032850"
"7737","Glod5","GLOD5","ENSMUSG00000031163"
"7738","Ezr","EZR","ENSMUSG00000052397"
"7739","Rpp14","RPP14","ENSMUSG00000023156"
"7740","Ubald2","UBALD2","ENSMUSG00000050628"
"7741","Supt6","SUPT6H","ENSMUSG00000002052"
"7742","Gemin4","GEMIN4","ENSMUSG00000049396"
"7743","Actl6b","ACTL6B","ENSMUSG00000029712"
"7744","Tatdn3","TATDN3","ENSMUSG00000026632"
"7745","Ttc39c","TTC39C","ENSMUSG00000024424"
"7746","Alkbh1","ALKBH1","ENSMUSG00000079036"
"7747","Usp48","USP48","ENSMUSG00000043411"
"7748","Hepacam","HEPACAM","ENSMUSG00000046240"
"7749","Ints10","INTS10","ENSMUSG00000031864"
"7750","Tma16","TMA16","ENSMUSG00000025591"
"7751","Mrpl41","MRPL41","ENSMUSG00000036850"
"7752","Lmo3","LMO3","ENSMUSG00000030226"
"7753","Etfrf1","ETFRF1","ENSMUSG00000040370"
"7754","Rmnd1","RMND1","ENSMUSG00000019763"
"7755","Vkorc1l1","VKORC1L1","ENSMUSG00000066735"
"7756","Spty2d1","SPTY2D1","ENSMUSG00000049516"
"7757","Ptk7","PTK7","ENSMUSG00000023972"
"7758","Bach1","BACH1","ENSMUSG00000025612"
"7759","Cep55","CEP55","ENSMUSG00000024989"
"7760","Cyb5r4","CYB5R4","ENSMUSG00000032872"
"7761","Fem1al","FEM1A","ENSMUSG00000078157"
"7763","Lpcat2b","LPCAT2BP","ENSMUSG00000033794"
"7764","Lpcat2","LPCAT2","ENSMUSG00000033192"
"7765","Sptlc2","SPTLC2","ENSMUSG00000021036"
"7766","Napb","NAPB","ENSMUSG00000027438"
"7767","Ap5m1","AP5M1","ENSMUSG00000036291"
"7768","Lims1","LIMS1","ENSMUSG00000019920"
"7769","Dctn6","DCTN6","ENSMUSG00000031516"
"7770","Twf2","TWF2","ENSMUSG00000023277"
"7771","Mrpl30","MRPL30","ENSMUSG00000026087"
"7772","Pomgnt2","POMGNT2","ENSMUSG00000066235"
"7773","Ankrd52","ANKRD52","ENSMUSG00000014498"
"7774","Cysltr1","CYSLTR1","ENSMUSG00000052821"
"7775","Polr1e","POLR1E","ENSMUSG00000028318"
"7776","Kif20a","KIF20A","ENSMUSG00000003779"
"7777","Zap70","ZAP70","ENSMUSG00000026117"
"7778","Cpb2","CPB2","ENSMUSG00000021999"
"7779","Ubxn8","UBXN8","ENSMUSG00000052906"
"7780","Morn5","MORN5","ENSMUSG00000026894"
"7781","Acbd5","ACBD5","ENSMUSG00000026781"
"7782","Fbxo3","FBXO3","ENSMUSG00000027180"
"7783","Irak1bp1","IRAK1BP1","ENSMUSG00000032251"
"7784","Ndufs2","NDUFS2","ENSMUSG00000013593"
"7785","Wdr13","WDR13","ENSMUSG00000031166"
"7786","Ak8","AK8","ENSMUSG00000026807"
"7787","Capn8","CAPN8","ENSMUSG00000038599"
"7788","Barx1","BARX1","ENSMUSG00000021381"
"7789","Rhod","RHOD","ENSMUSG00000041845"
"7790","Rhof","RHOF","ENSMUSG00000029449"
"7791","Tmed8","TMED8","ENSMUSG00000034111"
"7792","Galnt7","GALNT7","ENSMUSG00000031608"
"7793","Lrmda","LRMDA","ENSMUSG00000063458"
"7794","Edc3","EDC3","ENSMUSG00000038957"
"7795","Eri2","ERI2","ENSMUSG00000030929"
"7796","Cfap52","CFAP52","ENSMUSG00000020904"
"7797","Nup88","NUP88","ENSMUSG00000040667"
"7798","Slc49a3","SLC49A3","ENSMUSG00000029490"
"7799","Zmynd11","ZMYND11","ENSMUSG00000021156"
"7800","Cnot6l","CNOT6L","ENSMUSG00000034724"
"7801","Fbxw2","FBXW2","ENSMUSG00000035949"
"7802","BC005537","C6orf62","ENSMUSG00000019132"
"7803","Spata18","SPATA18","ENSMUSG00000029155"
"7804","Mapk15","MAPK15","ENSMUSG00000063704"
"7805","Pole4","POLE4","ENSMUSG00000030042"
"7806","Ankrd45","ANKRD45","ENSMUSG00000044835"
"7807","Gng8","GNG8","ENSMUSG00000063594"
"7808","Wasf2","WASF2","ENSMUSG00000028868"
"7809","Ttc38","TTC38","ENSMUSG00000035944"
"7810","Camk2n1","CAMK2N1","ENSMUSG00000046447"
"7811","Nle1","NLE1","ENSMUSG00000020692"
"7812","Rab3ip","RAB3IP","ENSMUSG00000064181"
"7813","Klhl36","KLHL36","ENSMUSG00000031828"
"7814","Tacc3","TACC3","ENSMUSG00000037313"
"7815","Rab23","RAB23","ENSMUSG00000004768"
"7816","Wasf3","WASF3","ENSMUSG00000029636"
"7817","Gtpbp3","GTPBP3","ENSMUSG00000007610"
"7818","Asb6","ASB6","ENSMUSG00000039483"
"7819","Fign","FIGN","ENSMUSG00000075324"
"7820","Wbp4","WBP4","ENSMUSG00000022023"
"7821","Lamtor3","LAMTOR3","ENSMUSG00000091512"
"7822","Calcoco2","CALCOCO2","ENSMUSG00000006056"
"7823","Crot","CROT","ENSMUSG00000003623"
"7824","Ctns","CTNS","ENSMUSG00000005949"
"7825","Frmd6","FRMD6","ENSMUSG00000048285"
"7826","Rragc","RRAGC","ENSMUSG00000028646"
"7827","B3galnt2","B3GALNT2","ENSMUSG00000039242"
"7828","Ddx47","DDX47","ENSMUSG00000030204"
"7829","Pudp","PUDP","ENSMUSG00000048875"
"7830","Exosc6","EXOSC6","ENSMUSG00000109941"
"7831","Cybrd1","CYBRD1","ENSMUSG00000027015"
"7832","Mcee","MCEE","ENSMUSG00000033429"
"7833","Trim44","TRIM44","ENSMUSG00000027189"
"7834","Echdc1","ECHDC1","ENSMUSG00000019883"
"7835","Ndufa2","NDUFA2","ENSMUSG00000014294"
"7836","Lypd6b","LYPD6B","ENSMUSG00000026765"
"7837","Timm29","TIMM29","ENSMUSG00000048429"
"7838","Tusc3","TUSC3","ENSMUSG00000118664"
"7839","Mau2","MAU2","ENSMUSG00000031858"
"7840","Tubb2b","TUBB2B","ENSMUSG00000045136"
"7841","Tubb2a","TUBB2A","ENSMUSG00000058672"
"7842","Mrpl4","MRPL4","ENSMUSG00000003299"
"7843","Eri1","ERI1","ENSMUSG00000031527"
"7844","Mrps17","MRPS17","ENSMUSG00000034211"
"7845","Mrps24","MRPS24","ENSMUSG00000020477"
"7846","Hddc2","HDDC2","ENSMUSG00000000295"
"7847","Tmx3","TMX3","ENSMUSG00000024614"
"7848","Wasf1","WASF1","ENSMUSG00000019831"
"7849","Stx18","STX18","ENSMUSG00000029125"
"7850","Srrm2","SRRM2","ENSMUSG00000039218"
"7851","Tex261","TEX261","ENSMUSG00000014748"
"7852","Endog","ENDOG","ENSMUSG00000015337"
"7853","Arl6ip4","ARL6IP4","ENSMUSG00000029404"
"7854","Itgbl1","ITGBL1","ENSMUSG00000032925"
"7855","Cfd","CFD","ENSMUSG00000061780"
"7856","Spr","SPR","ENSMUSG00000033735"
"7857","Hbp1","HBP1","ENSMUSG00000002996"
"7858","Ephb2","EPHB2","ENSMUSG00000028664"
"7859","Homer2","HOMER2","ENSMUSG00000025813"
"7860","Gpx7","GPX7","ENSMUSG00000028597"
"7861","Rpap2","RPAP2","ENSMUSG00000033773"
"7862","Ndufs4","NDUFS4","ENSMUSG00000021764"
"7863","Ctbs","CTBS","ENSMUSG00000028189"
"7864","Smim8","SMIM8","ENSMUSG00000028295"
"7865","Gdap1","GDAP1","ENSMUSG00000025777"
"7866","Cav3","CAV3","ENSMUSG00000062694"
"7867","Vasn","VASN","ENSMUSG00000039646"
"7868","Atg4a-ps","ATG4A","ENSMUSG00000087119"
"7870","Ern1","ERN1","ENSMUSG00000020715"
"7871","Gda","GDA","ENSMUSG00000058624"
"7872","Ndufs5","NDUFS5","ENSMUSG00000028648"
"7873","Tdg","TDG","ENSMUSG00000034674"
"7874","C9","C9","ENSMUSG00000022149"
"7875","Fahd1","FAHD1","ENSMUSG00000045316"
"7876","Styx","STYX","ENSMUSG00000053205"
"7878","Gnpnat1","GNPNAT1","ENSMUSG00000037722"
"7879","Tsen54","TSEN54","ENSMUSG00000020781"
"7880","Cfap206","CFAP206","ENSMUSG00000028294"
"7881","Tmbim7","TMBIM7P","ENSMUSG00000014529"
"7882","Ptpra","PTPRA","ENSMUSG00000027303"
"7883","B9d1","B9D1","ENSMUSG00000001039"
"7884","Bcap29","BCAP29","ENSMUSG00000020650"
"7885","Ing4","ING4","ENSMUSG00000030330"
"7886","Prim2","PRIM2","ENSMUSG00000026134"
"7887","Nmt1","NMT1","ENSMUSG00000020936"
"7888","Ecsit","ECSIT","ENSMUSG00000066839"
"7889","Gmpr","GMPR","ENSMUSG00000000253"
"7890","Oard1","OARD1","ENSMUSG00000040771"
"7891","Sh3d19","SH3D19","ENSMUSG00000028082"
"7892","Nudcd1","NUDCD1","ENSMUSG00000038736"
"7893","Amacr","AMACR","ENSMUSG00000022244"
"7894","Fpgt","FPGT","ENSMUSG00000053870"
"7895","Tmem120b","TMEM120B","ENSMUSG00000054434"
"7896","Cyp2b19","CYP2B6","ENSMUSG00000066704"
"7898","Cyp2g1","CYP2G1P","ENSMUSG00000049685"
"7900","Cyp2c23","CYP2C23P","ENSMUSG00000025197"
"7901","Cyp2c55","CYP2C18","ENSMUSG00000025002"
"7903","Cyp2e1","CYP2E1","ENSMUSG00000025479"
"7905","Cyp2s1","CYP2S1","ENSMUSG00000040703"
"7906","Gtse1","GTSE1","ENSMUSG00000022385"
"7907","Vbp1","VBP1","ENSMUSG00000031197"
"7908","Ccnq","CCNQ","ENSMUSG00000049489"
"7909","Txndc12","TXNDC12","ENSMUSG00000028567"
"7910","Smarcad1","SMARCAD1","ENSMUSG00000029920"
"7911","Nr3c1","NR3C1","ENSMUSG00000024431"
"7912","Gdi1","GDI1","ENSMUSG00000015291"
"7913","Pop4","POP4","ENSMUSG00000030423"
"7914","Casp7","CASP7","ENSMUSG00000025076"
"7915","Chtf18","CHTF18","ENSMUSG00000019214"
"7916","Vps37b","VPS37B","ENSMUSG00000066278"
"7917","Tspan2","TSPAN2","ENSMUSG00000027858"
"7918","Gtf2a2","GTF2A2","ENSMUSG00000033543"
"7919","Katna1","KATNA1","ENSMUSG00000019794"
"7920","Trim13","TRIM13","ENSMUSG00000035235"
"7921","Phkg1","PHKG1","ENSMUSG00000025537"
"7922","Ctdsp1","CTDSP1","ENSMUSG00000026176"
"7923","Fam241a","FAM241A","ENSMUSG00000050549"
"7924","Rnf130","RNF130","ENSMUSG00000020376"
"7925","Ngly1","NGLY1","ENSMUSG00000021785"
"7926","Tent2","TENT2","ENSMUSG00000042167"
"7927","Acot11","ACOT11","ENSMUSG00000034853"
"7928","Banp","BANP","ENSMUSG00000025316"
"7929","Trmu","TRMU","ENSMUSG00000022386"
"7930","Syngr3","SYNGR3","ENSMUSG00000007021"
"7931","Uqcrb","UQCRB","ENSMUSG00000021520"
"7932","Szrd1","SZRD1","ENSMUSG00000040842"
"7933","Taf1c","TAF1C","ENSMUSG00000031832"
"7934","Ets2","ETS2","ENSMUSG00000022895"
"7935","Rab12","RAB12","ENSMUSG00000023460"
"7936","Ints8","INTS8","ENSMUSG00000040738"
"7937","Tada2b","TADA2B","ENSMUSG00000029196"
"7938","Lims2","LIMS2","ENSMUSG00000024395"
"7939","AU022252","C1orf50","ENSMUSG00000078584"
"7940","Sptlc1","SPTLC1","ENSMUSG00000021468"
"7941","Aamdc","AAMDC","ENSMUSG00000035642"
"7942","Nit2","NIT2","ENSMUSG00000022751"
"7943","Necap2","NECAP2","ENSMUSG00000028923"
"7944","S100z","S100Z","ENSMUSG00000021679"
"7945","Ppil6","PPIL6","ENSMUSG00000078451"
"7946","Metap1d","METAP1D","ENSMUSG00000041921"
"7947","Phlda2","PHLDA2","ENSMUSG00000010760"
"7948","Nxn","NXN","ENSMUSG00000020844"
"7949","Tbc1d17","TBC1D17","ENSMUSG00000038520"
"7950","C1qa","C1QA","ENSMUSG00000036887"
"7951","Pgpep1","PGPEP1","ENSMUSG00000056204"
"7952","Derl2","DERL2","ENSMUSG00000018442"
"7953","Nanp","NANP","ENSMUSG00000053916"
"7954","Tmem127","TMEM127","ENSMUSG00000034850"
"7955","Noc4l","NOC4L","ENSMUSG00000033294"
"7956","Raver1","RAVER1","ENSMUSG00000010205"
"7957","Gli2","GLI2","ENSMUSG00000048402"
"7958","Lats1","LATS1","ENSMUSG00000040021"
"7959","Ism1","ISM1","ENSMUSG00000074766"
"7960","Ism2","ISM2","ENSMUSG00000050671"
"7961","Hs6st1","HS6ST1","ENSMUSG00000045216"
"7962","Il12b","IL12B","ENSMUSG00000004296"
"7963","Myh11","MYH11","ENSMUSG00000018830"
"7965","Pcdhgb6","PCDHGB6","ENSMUSG00000103088"
"7970","Pcdhga9","PCDHGA9","ENSMUSG00000102440"
"7971","Plekhs1","PLEKHS1","ENSMUSG00000035818"
"7972","Kif15","KIF15","ENSMUSG00000036768"
"7973","Angptl2","ANGPTL2","ENSMUSG00000004105"
"7974","Zbtb34","ZBTB34","ENSMUSG00000068966"
"7975","Stxbp1","STXBP1","ENSMUSG00000026797"
"7976","Metap1","METAP1","ENSMUSG00000005813"
"7977","Pex16","PEX16","ENSMUSG00000027222"
"7978","Gjb1","GJB1","ENSMUSG00000047797"
